title,abstract,pages,DOI,link,year
Face Database Protection Using Encryption Technique,"Biometric is being extensively used for security applications. The major concern with biometric features is, there are limited features for a single person. Compromise of these features will lead to compromising of security and it will be impossible to replace these features as they are unique to every person. For securing biometric database various methods have been proposed like cancelable biometric and biometric cryptosystem. The issues arising from these are matching template in transform domain, authenticity etc. To overcome this problem, encryption-based method is proposed for database present in the server. The transfer of database from server to terminal for authentication is done in encrypted domain along with storage. For authentication, the database is decrypted at the terminal side. The cipher output and security parameters shown in the paper verifies that the algorithm is successful in securing facial database.  © 2023 IEEE.",-,10.1109/PuneCon58714.2023.10450006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187798442&doi=10.1109%2fPuneCon58714.2023.10450006&partnerID=40&md5=a790e76d3d03ae490346428d24d7f49b,2023
QRS Detector Performance Evaluation Aware of Temporal Accuracy and Presence of Noise,"Algorithms for QRS detection are fundamental in the ECG interpretive processing chain. They must meet several challenges, such as high reliability, high temporal accuracy, high immunity to noise, and low computational complexity. Unfortunately, the accuracy expressed by missed or redundant events statistics is often the only parameter used to evaluate the detector’s performance. In this paper, we first notice that statistics of true positive detections rely on researchers’ arbitrary selection of time tolerance between QRS detector output and the database reference. Next, we propose a multidimensional algorithm evaluation method and present its use on four example QRS detectors. The dimensions are (a) influence of detection temporal tolerance, tested for values between 8.33 and 164 ms; (b) noise immunity, tested with an ECG signal with an added muscular noise pattern and signal-to-noise ratio to the effect of “no added noise”, 15, 7, 3 dB; and (c) influence of QRS morphology, tested on the six most frequently represented morphology types in the MIT-BIH Arrhythmia Database. The multidimensional evaluation, as proposed in this paper, allows an in-depth comparison of QRS detection algorithms removing the limitations of existing one-dimensional methods. The method enables the assessment of the QRS detection algorithms according to the medical device application area and corresponding requirements of temporal accuracy, immunity to noise, and QRS morphology types. The analysis shows also that, for some algorithms, adding muscular noise to the ECG signal improves algorithm accuracy results. © 2024 by the authors.",-,10.3390/s24051698,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187446824&doi=10.3390%2fs24051698&partnerID=40&md5=6b772d2ba8286d3c647aee54d2b598e4,2021
A Generalization of the Chomsky-Halle Phonetic Representation using Real Numbers for Robust Speech Recognition in Noisy Environments,"Speech recognition is difficult when the speech signal is weak or occurs in a noisy environment. This paper presents an efficient and robust method that can reconstruct the standard pronunciation of English phonemes and words given a weak or noisy signal. The reconstruction is based on a novel representation of the reconstruction task as a problem of data retrieval from a database in two different cases: (1) when the phonemes are represented in the database as binary tuples and the input is also a binary tuple from which deletion errors occur, and (2) when the phonemes are represented in the database and in the input as tuples of real values ranging between 0 and 1. In the latter case, the input phoneme could contain both a higher or lower value than the standard phoneme in the database that is intended by the speaker. For case (2) a theorem is proven regarding when the data retrieval can be expected to be reliable.  © 2023 Owner/Author.",156-160,10.1145/3589462.3589488,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161368446&doi=10.1145%2f3589462.3589488&partnerID=40&md5=902b658595b39eeff21760f774f6874f,2023
Bridging the Gap between Data Lakes and RDBMSs Efficient Query Processing with Parquet,"In the age of massive data, databases are getting less convenient for data exploration tasks due to the costly loading phase. Still, the highly optimized query engines of database systems are greatly beneficial for the performance of data analysis tasks. With our research, we want to bridge this gap and provide paramount analytical performance without the need of static data loading. Our approach enables the integration of Parquet files - one of the most used columnar file format in the data lake context - into the data processing pipeline of a database system in a convenient way. We allow end-users to benefit from the database system performance without a costly and time-consuming loading phase. © 2024 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",-,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188508794&partnerID=40&md5=f476dc2f29bf7d1ab07eb600e9c95b27,2024
Candidate ferroelectrics via ab initio high-throughput screening of polar materials,"Ferroelectrics are a class of polar and switchable functional materials with diverse applications, from microelectronics to energy conversion. Computational searches for new ferroelectric materials have been constrained by accurate prediction of the polarization and switchability with electric field, properties that, in principle, require a comparison with a nonpolar phase whose atomic-scale unit cell is continuously deformable from the polar ground state. For most polar materials, such a higher-symmetry nonpolar phase does not exist or is unknown. Here, we introduce a general high-throughput workflow that screens polar materials as potential ferroelectrics. We demonstrate our workflow on 1978 polar structures in the Materials Project database, for which we automatically generate a nonpolar reference structure using pseudosymmetries, and then compute the polarization difference and energy barrier between polar and nonpolar phases, comparing the predicted values to known ferroelectrics. Focusing on a subset of 182 potential ferroelectrics, we implement a systematic ranking strategy that prioritizes candidates with large polarization and small polar-nonpolar energy differences. To assess stability and synthesizability, we combine information including the computed formation energy above the convex hull, the Inorganic Crystal Structure Database id number, a previously reported machine learning-based synthesizability score, and ab initio phonon band structures. To distinguish between previously reported ferroelectrics, materials known for alternative applications, and lesser-known materials, we combine this ranking with a survey of the existing literature on these candidates through Google Scholar and Scopus databases, revealing ~130 promising materials uninvestigated as ferroelectric. Our workflow and large-scale high-throughput screening lays the groundwork for the discovery of novel ferroelectrics, revealing numerous candidates materials for future experimental and theoretical endeavors. © 2024, The Author(s).",-,10.1038/s41524-023-01193-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182594979&doi=10.1038%2fs41524-023-01193-3&partnerID=40&md5=47e1d9d0e9cd8d898b29df875b5e79ba,2022
How Do Centrality Measures Choose the Root of Trees?,"Centrality measures are widely used to assign importance to graph-structured data. Recently, understanding the principles of such measures has attracted a lot of attention. Given that measures are diverse, this research has usually focused on classes of centrality measures. In this work, we provide a different approach by focusing on classes of graphs instead of classes of measures to understand the underlying principles among various measures. More precisely, we study the class of trees. We observe that even in the case of trees, there is no consensus on which node should be selected as the most central. To analyze the behavior of centrality measures on trees, we introduce a property of tree rooting that states a measure selects one or two adjacent nodes as the most important, and the importance decreases from them in all directions. This property is satisfied by closeness centrality but violated by PageRank. We show that, for several centrality measures that root trees, the comparison of adjacent nodes can be inferred by potential functions that assess the quality of trees. We use these functions to give fundamental insights on rooting and derive a characterization explaining why some measure root trees. Moreover, we provide an almost linear time algorithm to compute the root of a graph by using potential functions. Finally, using a family of potential functions, we show that many ways of tree rooting exist with desirable properties. © Cristian Riveros, Jorge Salas, and Oskar Skibski; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150701662&doi=10.4230%2fLIPIcs.ICDT.2023.12&partnerID=40&md5=a74bb5bfc8949257384329cfc55442b1,2019
Some Vignettes on Subgraph Counting Using Graph Orientations,"Subgraph counting is a fundamental problem that spans many areas in computer science: database theory, logic, network science, data mining, and complexity theory. Given a large input graph G and a small pattern graph H, we wish to count the number of occurrences of H in G. In recent times, there has been a resurgence on using an old (maybe overlooked?) technique of orienting the edges of G and H, and then using a combination of brute-force enumeration and indexing. These orientation techniques appear to give the best of both worlds. There is a rigorous theoretical explanation behind these techniques, and they also have excellent empirical behavior (on large real-world graphs). Time and again, graph orientations help solve subgraph counting problems in various computational models, be it sampling, streaming, distributed, etc. In this paper, we give some short vignettes on how the orientation technique solves a variety of algorithmic problems. © C. Seshadhri; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150692217&doi=10.4230%2fLIPIcs.ICDT.2023.3&partnerID=40&md5=4803bf25e023c52e89b8ae8215570526,2020
Generalizing Greenwald-Khanna Streaming Quantile Summaries for Weighted Inputs,"Estimating quantiles, like the median or percentiles, is a fundamental task in data mining and data science. A (streaming) quantile summary is a data structure that can process a set S of n elements in a streaming fashion and at the end, for any ϕ ∈ (0, 1], return a ϕ-quantile of S up to an ε error, i.e., return a ϕ′-quantile with ϕ′ = ϕ ± ε. We are particularly interested in comparison-based summaries that only compare elements of the universe under a total ordering and are otherwise completely oblivious of the universe. The best known deterministic quantile summary is the 20-year old Greenwald-Khanna (GK) summary that uses O((1/ε) log (εn)) space [SIGMOD'01]. This bound was recently proved to be optimal for all deterministic comparison-based summaries by Cormode and Vesleý [PODS'20]. In this paper, we study weighted quantiles, a generalization of the quantiles problem, where each element arrives with a positive integer weight which denotes the number of copies of that element being inserted. The only known method of handling weighted inputs via GK summaries is the naive approach of breaking each weighted element into multiple unweighted items, and feeding them one by one to the summary, which results in a prohibitively large update time (proportional to the maximum weight of input elements). We give the first non-trivial extension of GK summaries for weighted inputs and show that it takes O((1/ε) log (εn)) space and O(log(1/ε) + log log(εn)) update time per element to process a stream of length n (under some quite mild assumptions on the range of weights and ε). En route to this, we also simplify the original GK summaries for unweighted quantiles. 2012 ACM Subject Classification Theory of computation → Streaming, sublinear and near linear time algorithms; Theory of computation → Approximation algorithms analysis; Theory of computation → Data structures design and analysis. © Sepehr Assadi, Nirmit Joshi, Milind Prabhu, and Vihan Shah; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150707536&doi=10.4230%2fLIPIcs.ICDT.2023.19&partnerID=40&md5=e666b523eff645f55df81ab92613ff06,2021
Probabilistic Query Evaluation with Bag Semantics,"We initiate the study of probabilistic query evaluation under bag semantics where tuples are allowed to be present with duplicates. We focus on self-join free conjunctive queries, and probabilistic databases where occurrences of different facts are independent, which is the natural generalization of tuple-independent probabilistic databases to the bag semantics setting. For set semantics, the data complexity of this problem is well understood, even for the more general class of unions of conjunctive queries: it is either in polynomial time, or #P-hard, depending on the query (Dalvi & Suciu, JACM 2012). Due to potentially unbounded multiplicities, the bag probabilistic databases we discuss are no longer finite objects, which requires a treatment of representation mechanisms. Moreover, the answer to a Boolean query is a probability distribution over non-negative integers, rather than a probability distribution over {true, false}. Therefore, we discuss two flavors of probabilistic query evaluation: computing expectations of answer tuple multiplicities, and computing the probability that a tuple is contained in the answer at most k times for some parameter k. Subject to mild technical assumptions on the representation systems, it turns out that expectations are easy to compute, even for unions of conjunctive queries. For query answer probabilities, we obtain a dichotomy between solvability in polynomial time and #P-hardness for self-join free conjunctive queries. © Martin Grohe, Peter Lindner, and Christoph Standke; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150727304&doi=10.4230%2fLIPIcs.ICDT.2023.20&partnerID=40&md5=7445abcbe811e72e409e9c040dc99d16,2022
Diversity of Answers to Conjunctive Queries,"Enumeration problems aim at outputting, without repetition, the set of solutions to a given problem instance. However, outputting the entire solution set may be prohibitively expensive if it is too big. In this case, outputting a small, sufficiently diverse subset of the solutions would be preferable. This leads to the Diverse-version of the original enumeration problem, where the goal is to achieve a certain level d of diversity by selecting k solutions. In this paper, we look at the Diverse-version of the query answering problem for Conjunctive Queries and extensions thereof. That is, we study the problem if it is possible to achieve a certain level d of diversity by selecting k answers to the given query and, in the positive case, to actually compute such k answers. © Timo Camillo Merkl, Reinhard Pichler, and Sebastian Skritek; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150736584&doi=10.4230%2fLIPIcs.ICDT.2023.10&partnerID=40&md5=bbb183a7c3d3268c7ef894b483be27ae,2023
A new tree-based approach to mine sequential patterns[Formula presented],"Generic sequential pattern mining problem aims to mine the set of sequential patterns from a sequential database that satisfies a minimum support or occurrence threshold constraint. The main challenges that affect the efficiency of a solution lie in reducing the pattern search space, early detecting the infrequent patterns, representing the database in an efficient format, etc. Also, additional challenges get included when the problem environment transitions from static to incremental database leading to not to re-mine but efficiently tracking the effect of the incremental portion over the complete updated database. In this article, we introduce a new tree-based solution to the sequential pattern mining problem, including two sets of novel solutions for static and incremental sequential databases. We propose two new structures, SP-Tree and IncSP-Tree, and design two efficient algorithms, Tree-Miner and IncTree-Miner to mine the complete set of sequential patterns from static and incremental databases respectively. The proposed novel structures provide an efficient manner to store the complete sequential database maintaining “build-once-mine-many” property and giving scope to perform interactive mining. Additionally, we also design a new breath-first based support counting technique to efficiently identify the infrequent patterns at early stages and a new heuristic pruning strategy to reduce pattern search space. We also design a new pattern storage structure BPFSP-Tree to store the frequent patterns during successive iterations in incremental mining to reduce the number of database scans and to remove the infrequent patterns efficiently. A novel structure named Sequence Summarizer is also introduced to efficiently calculate and update the co-occurrence information of the items, especially in an incremental environment. Experimental results from various real-life and synthetic datasets demonstrate the efficiency of our work in comparison with the related state-of-the-art approaches. © 2023 Elsevier Ltd",-,10.1016/j.eswa.2023.122754,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178662860&doi=10.1016%2fj.eswa.2023.122754&partnerID=40&md5=e2051f6eae46b5b790f66a15d4e7b5c7,2023
National Brazilian judicial database (DataJud): transparency and better administration of justice,"The use of data about judicial procedures is crucial to improve the overall administration of justice, define strategies for justice institutions, promote transparency, broaden access, and enhance confidence in the justice system. Nevertheless, data collected worldwide has been sparse and inconsistent as most countries have been late to start steadily adopting information technology in the Justice System. Brazil is an exception, as the country has been collecting digital judicial data systematically since 2009. Despite its enormous geographical and population dimensions and its heterogeneity of legal systems among the states, Brazil managed to develop and implement the National Database of the Brazilian Judiciary (DataJud) as a result of 15 years of studies and experience coordinated by the National Council of Justice (CNJ) and with the participation of the Brazilian Judiciary actors. The paper presents DataJud, the main previous events that favoured its creation, its characteristics, and two results and firsts benefit of the platform: Dashboard of Statistics of the Judiciary and Dashboard of Major Litigants.  © 2023 Owner/Author.",417-419,10.1145/3614321.3614381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180123097&doi=10.1145%2f3614321.3614381&partnerID=40&md5=bb3488525f90fe13a2418dcd8eca41a6,2024
Estimating hydrocarbon recovery factor at reservoir scale via machine learning: Database-dependent accuracy and reliability,"This study aims to estimate recovery factor (RF), a key property for exploration, from other reservoir characteristics, such as porosity, permeability, pressure, and water saturation via machine learning (ML). The database dependence of ML algorithms in the estimation of the hydrocarbon RF at the reservoir scale, however, has not yet been addressed. We, therefore, used various combinations of three databases and applied three regression-based models including the extreme gradient boosting (XGBoost), support vector machine (SVM), and stepwise multiple linear regression (MLR) to construct the ML models and estimate the oil and/or gas RF. Using two databases and the cross-validation method, we evaluated the performance of the ML models. The third independent database was then used to further assess the constructed models. We found that the XGBoost model estimated the oil and gas RF for the train and test datasets more accurately than the SVM and MLR models. In the estimation of oil RF and for the testing dataset in the largest database, we found RMSE = 0.111 for the XGBoost model, while RMSE = 0.130 and 0.134, respectively, for the SVM and MLR models. However, the performance of all the models were unsatisfactory for the independent databases. Results demonstrated that the ML algorithms were highly dependent and sensitive to the databases based on which they were trained. Statistical tests revealed that such unsatisfactory performances were because the distributions of input features and target variables in the train datasets were significantly different from those in the independent databases (p-value <0.05). © 2023",-,10.1016/j.engappai.2023.107500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177849955&doi=10.1016%2fj.engappai.2023.107500&partnerID=40&md5=389eb9b31e813376ad7479bd53540e82,2024
Drops in a bucket: Contributions of the IAEA Lise Meitner Library to the INIS database,"No library can have it all. It is the job of the Inter Library Loan/Document Delivery Service to get elsewhere what is not in a Library's collection. That is also the case in the IAEA Lise Meitner Library (ILML). Most of the topics the ILML deals with are nuclear related (albeit not only), and so are the ""known""or specific items requested to the ILL/DD Service. The ILML is therefore a heavy user of the INIS database, among other nuclear related databases. Many relevant documents are to be found there. In any case, it is a source that must be checked. Then again, it also happens that a given item is not in INIS. Realizing that, the ILML ILL/DD service took the initiative to report those ""missing drops""to the INIS proverbial bucket. (ILML and INIS are two different units within IAEA's Nuclear Information Section). One may wonder if a drop in a bucket is worth it. It is in this case because INIS, as other topical databases/repositories, aims for the wider possible coverage within its topical scope. Since 1972, records in INIS come from member states contributions, IAEA contributions, and yet, some documents escape the coverage, something learned by the experience of looking for requested materials like old conference papers, unpublished thesis, reports from nuclear agencies and institutions, etc. As a relatively cheap by-product of the search of an item, every month or so, a report in RIS format with items found elsewhere than INIS is sent to INIS, including basic bibliographic information, report ID, searches performed in INIS (not finding it), and location of the material: URL of a site, library catalogue, publisher, or agency. Occasionally, a reported item may lead to the inclusion of many others, a conference paper to the proceedings, a chapter to a book, a paper to a journal, etc. The reporting is easily replicable: any other library that stumbles upon an item not covered by INIS is welcome to inform about it. These are items that escaped prior systematic coverage, added to INIS because some user needed it, and ILL/DD located it elsewhere. Reporting to INIS is a way of compensating the relatively high cost of looking for a specific item, hopefully avoiding others looking for it again, but finding it in INIS.  © TextRelease, 2024.",90-98,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188330830&partnerID=40&md5=b58443bcbf97c379ec379a7d2fa6b411,2024
Two-Stage Encryption for Strengthening Data Security in Web-Based Databases: AES-256 and RSA Integration,"The research introduces a two-stage encryption approach, integrating AES-256 and RSA algorithms, to bolster the security of web-based databases. Focusing specifically on databases, the study's primary objective was to fortify data protection against SQL Injection attacks. Employing a PHP-native model with CRUD functions, the study meticulously implemented and tested the integration of AES-256 and RSA encryption and decryption procedures. The results showcased successful encryption of sensitive information, rendering the targeted columns impervious to unauthorized access. However, challenges surfaced, particularly concerning potential impacts on web response times, especially with extensive datasets. Performance concerns associated with creating public-private key pairs for each data storage operation were evident. Query performance, especially with encrypted attributes, posed significant hurdles. In the realm of further research, this study underscores the delicate equilibrium between security and efficiency in web-based database systems. Future investigations should scrutinize the cost implications and resource utilization in large-scale implementations. Optimizing the methodology's performance, elucidating processes executed once versus those repeated for each data storage action, and exploring the incorporation of indexes are vital avenues for exploration. Additionally, practical implications regarding the real-world implementation of encryption techniques demand in-depth analysis. Addressing these aspects will not only enhance data security but also guide the development of more efficient and practical web-based database protection strategies.  © 2023 IEEE.",486-492,10.1109/COMNETSAT59769.2023.10420796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186124653&doi=10.1109%2fCOMNETSAT59769.2023.10420796&partnerID=40&md5=52b86a2b6c267f3c7e1d1bf7d9ee2d81,2022
CBIR-ACHS: compressed domain content-based image retrieval through auto-correloblock in HEVC standard,"Because the complete decompression of images encoded through the HEVC standard is time-consuming, image retrieval encoded through the HEVC standard is one of the most challenging topics in existing database management. Our proposed method is a content-based image retrieval method in the compressed domain, leveraging feature vectors constructed from the I-frame information encoded in HEVC. We introduce a novel concept called auto-correloblock to form these feature vectors. These feature vectors, which represent HEVC coded images in the compressed domain, are based on block sizes and intra-prediction modes. In our method, we utilize the feature vector of the query image to generate a histogram, which is then compared to the feature vectors of images stored in the database. To evaluate our approach, we conduct experiments using the INRIA HOLIDAY database. The results demonstrate the effectiveness of our proposed method, achieving an ANMRR (Average Normalized Modified Retrieval Rank) of 0.23 in coded image retrieval and outperforms its counterparts in this domain. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",-,10.1007/s11042-024-18488-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185109605&doi=10.1007%2fs11042-024-18488-2&partnerID=40&md5=28382df7df1c3f3c6c83db01e8b852b0,2021
Abnormal Heart Sound Detection using Time-Frequency Analysis and Machine Learning Techniques,"Phonocardiogram (PCG) signals contains valuable information pertaining to heart valve functionality, rendering them potentially useful for early detection of cardiovascular diseases. Automated classification of heart sounds harbors great promise for identifying cardiac pathologies. This paper introduces a novel automated approach to classify normal and abnormal heart sounds. Our methodology involves partitioning heart sounds into four segments: S1, S2, systolic, and diastolic, followed by extraction of time–frequency and time-statistical features. Prior to data classification, we employ two techniques - particle Swarm optimization (PSO) and Sequential Forward Feature Selection (SFFS) - for efficient feature selection. We assess the performance of the proposed method on the Physionet Challenge 2016 database, utilizing the 10-fold cross-validation method. To address the issue of dataset imbalance, we apply the synthetic minority over-sampling technique (SMOTE) to create balanced datasets. Our approach surpasses existing methods in the literature, as evidenced by its superior accuracy, sensitivity, and specificity metrics. Specifically, our method achieves an accuracy of 98.03%, a sensitivity of 97.64%, and a specificity of 98.43% in distinguishing normal from abnormal heart sounds on the Physionet database. These findings outperform the results obtained by previously established methods evaluated on the Physionet 2016 challenge database. © 2023 Elsevier Ltd",-,10.1016/j.bspc.2023.105899,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182022887&doi=10.1016%2fj.bspc.2023.105899&partnerID=40&md5=270d6b54c140c734e967449920bfeec6,2021
Al–Ni–Ti thermodynamic database from first-principles calculations,"First-principles calculations have increasingly become an essential tool for providing additional thermodynamic data for assessing thermodynamic databases using the CALPHAD methodology. As computational power increases and becomes easily accessible, first-principles calculation results have become more presented along with the experimental procedures to determine the thermochemical properties of the phases within a target system. This can help accelerate the alloy development process, even in complex multi-component systems. By using only first-principles calculation data for the both thermodynamic description and interaction parameters of end-members, an Al–Ni–Ti ternary thermodynamic database is constructed. By relying on the existing materials database for ground state stability of the known compounds, the constructed Al–Ni–Ti thermodynamic database can mostly capture all the features related to the solid-state phases appear in the ternary phase diagram comparable to that of the published database from an experimental data assessment. © 2023 Elsevier Ltd",-,10.1016/j.calphad.2023.102658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181838295&doi=10.1016%2fj.calphad.2023.102658&partnerID=40&md5=bac60a8fc259593a8e4115882d4062de,2024
Evidence for the druggability of aldosterone targets in heart failure: A bioinformatics and data science-driven decision-making approach,"Background: Aldosterone plays a key role in the neurohormonal drive of heart failure. Systematic prioritization of drug targets using bioinformatics and database-driven decision-making can provide a competitive advantage in therapeutic R&D. This study investigated the evidence on the druggability of these aldosterone targets in heart failure. Methods: The target disease predictability of mineralocorticoid receptors (MR) and aldosterone synthase (AS) in cardiac failure was evaluated using Open Targets target-disease association scores. The Open Targets database collections were downloaded to MongoDB and queried according to the desired aggregation level, and the results were retrieved from the Europe PMC (data type: text mining), ChEMBL (data type: drugs), Open Targets Genetics Portal (data type: genetic associations), and IMPC (data type: genetic associations) databases. The target tractability of MR and AS in the cardiovascular system was investigated by computing activity scores in a curated ChEMBL database using supervised machine learning. Results: The medians of the association scores of the MR and AS groups were similar, indicating a comparable predictability of the target disease. The median of the MR activity scores group was significantly lower than that of AS, indicating that AS has higher target tractability than MR [Hodges-Lehmann difference 0.62 (95%CI 0.53–0.70, p < 0.0001]. The cumulative distributions of the overall multiplatform association scores of cardiac diseases with MR were considerably higher than with AS, indicating more advanced investigations on a wider range of disorders evaluated for MR (Kolmogorov-Smirnov D = 0.36, p = 0.0009). In curated ChEMBL, MR had a higher cumulative distribution of activity scores in experimental cardiovascular assays than AS (Kolmogorov-Smirnov D = 0.23, p < 0.0001). Documented clinical trials for MR in heart failures surfaced in database searches, none for AS. Conclusions: Although its clinical development has lagged behind that of MR, our findings indicate that AS is a promising therapeutic target for the treatment of cardiac failure. The multiplatform-integrated identification used in this study allowed us to comprehensively explore the available scientific evidence on MR and AS for heart failure therapy. © 2024 Elsevier Ltd",-,10.1016/j.compbiomed.2024.108124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186263536&doi=10.1016%2fj.compbiomed.2024.108124&partnerID=40&md5=f71937ffa8b5af7e0f10261227245cbd,2023
Measuring Meaning Similarity Using TF/IDF and Term Synonym ID,"This work proposes a novel alternative for measuring the meaning similarity between two sentences in Bahasa Indonesia. Two sentences are considered to have the same meaning if each word in those sentences has the same synonym. In this regard, a synonym database is needed. In this study, the synonym database was developed by categorizing words with the same meaning. Each word group was given a unique ID. The first scenario was performed without stemming, while the second was performed with stemming during the pre-processing. Each word in the sentence was matched to the synonym database using the synonym ID reference. The synonym ID was weighed using TF/IDF, and the vector distance was measured using Cosine similarity. The most optimal test result was noticed in the first scenario with a 89.72% similarity score out of 80 data tests, higher than the second scenario with an 76.24% similarity score.  © 2023 IEEE.",206-211,10.1109/ICOIACT59844.2023.10455894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187803266&doi=10.1109%2fICOIACT59844.2023.10455894&partnerID=40&md5=3c427484dedd71bc66dbd593baf75fd7,2023
Insights into dietary phytochemicals targeting Parkinson's disease key genes and pathways: A network pharmacology approach,"Parkinson's disease (PD) is a complex neurological disease associated with the degeneration of dopaminergic neurons. Oxidative stress is a key player in instigating apoptosis in dopaminergic neurons. To improve the survival of neurons many dietary phytochemicals have gathered significant attention recently. Thus, the present study implements a comprehensive network pharmacology approach to unravel the mechanisms of action of dietary phytochemicals that benefit disease management. A literature search was performed to identify ligands (i.e., comprising dietary phytochemicals and Food and Drug Administration pre-approved PD drugs) in the PubMed database. Targets associated with selected ligands were extracted from the search tool for interactions of chemicals (STITCH) database. Then, the construction of a gene-gene interaction (GGI) network, analysis of hub-gene, functional and pathway enrichment, associated transcription factors, miRNAs, ligand-target interaction network, docking were performed using various bioinformatics tools together with molecular dynamics (MD) simulations. The database search resulted in 69 ligands and 144 unique targets. GGI and subsequent topological measures indicate histone acetyltransferase p300 (EP300), mitogen-activated protein kinase 1 (MAPK1) or extracellular signal-regulated kinase (ERK)2, and CREB-binding protein (CREBBP) as hub genes. Neurodegeneration, MAPK signaling, apoptosis, and zinc binding are key pathways and gene ontology terms. hsa-miR-5692a and SCNA gene-associated transcription factors interact with all the 3 hub genes. Ligand-target interaction (LTI) network analysis suggest rasagiline and baicalein as candidate ligands targeting MAPK1. Rasagiline and baicalein form stable complexes with the Y205, K330, and V173 residues of MAPK1. Computational molecular insights suggest that baicalein and rasagiline are promising preclinical candidates for PD management. © 2024",-,10.1016/j.compbiomed.2024.108195,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186957894&doi=10.1016%2fj.compbiomed.2024.108195&partnerID=40&md5=792a9f6b0d0f321990f84634bb4f6cba,2022
Application of a new multi-binary classification strategy in the Weld Defects Images,"The conventional techniques for identifying flaws in welds lack accuracy. However, Non-Destructive Testing (NDT) is vital in assessing weld quality. This paper addresses the limitations of conventional weld defect detection methods by proposing an automatic detection method based on convolutional neural networks (CNNs). We enhance the Non-Destructive Testing (NDT) approach by incorporating artificial intelligence. They construct a database of X-ray images of pipeline welds, including sixty-seven patches of manually annotated weld defect images from the GDXray database. We utilize radiography images to classify weld defects into five distinct classes. We employ a multi-binary classification strategy (MBC) using the annotated database to detect and classify weld defects automatically. This novel approach offers improved accuracy and efficiency in weld defect detection. By combining NDT with artificial intelligence, specifically CNNs, we introduce a promising detection strategy for assessing weld quality. It demonstrates the potential for enhancing weld defect identification in various industries and applications.  © 2023 IEEE.",-,10.1109/IW_MSS59200.2023.10368597,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182939927&doi=10.1109%2fIW_MSS59200.2023.10368597&partnerID=40&md5=233fb0fe8ee26458394baa44a832cce4,2022
Exploiting Access Pattern Characteristics for Join Reordering,"With increasing main memory sizes, data processing has significantly shifted from secondary storage to main memory. However, choosing a good join order is still very important for efficient query execution in modern DBMS. This choice bases mainly on cardinality estimates for intermediate join results. However, the memory access pattern, e.g., sequential or random, on the intermediate state is an often neglected performance factor. In this paper, we examine this impact on join query performance by evaluating the execution time, and cache misses for n-ary foreign-key joins. Based on this analysis, we propose a novel join reordering algorithm that detects the memory access pattern (using machine learning on hardware performance counters) and adapts the join order accordingly at runtime. By considering the access pattern, our evaluation shows that our adaptive reorder algorithm converges quickly to a good join order and reaches improvements of up to a factor of 5.7×. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",10-18,10.1145/3592980.3595304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163711760&doi=10.1145%2f3592980.3595304&partnerID=40&md5=14bb70e9970496769a72f94ecc2b3f5d,2023
